timestamp,tokens_prompt,tokens_completion,tokens_total,response_time,estimated_cost_usd
2026-02-16T00:43:47,387,140,527,4216,0.00014205USD
2026-02-16T00:43:52,380,115,495,2991,0.000126USD
2026-02-16T00:43:55,377,105,482,2865,0.00011955USD
2026-02-16T00:43:57,368,120,488,3150,0.0001272USD
2026-02-16T00:44:01,348,108,456,2579,0.000117USD
2026-02-16T00:44:03,360,18,378,1190,0.0000648USD
2026-02-16T00:44:04,360,18,378,781,0.0000648USD
2026-02-16T00:44:05,360,18,378,1008,0.0000648USD
2026-02-16T00:46:46,387,142,529,4415,0.00014325USD
2026-02-16T00:46:50,380,117,497,2671,0.0001272USD
2026-02-16T00:46:53,377,106,483,2675,0.00012015USD
2026-02-16T00:46:56,368,170,538,3006,0.0001572USD
2026-02-16T00:46:59,348,146,494,3206,0.0001398USD
2026-02-16T00:47:02,360,18,378,1063,0.0000648USD
2026-02-16T00:47:03,360,18,378,920,0.0000648USD
2026-02-16T00:47:04,360,18,378,797,0.0000648USD
2026-02-16T00:48:50,615,152,767,2967,0.00018345USD
2026-02-16T00:48:53,608,130,738,2760,0.0001692USD
2026-02-16T00:48:56,605,122,727,2321,0.00016395USD
2026-02-16T00:48:58,596,18,614,837,0.0001002USD
2026-02-16T00:48:59,596,18,614,958,0.0001002USD
2026-02-16T00:49:00,596,18,614,840,0.0001002USD
2026-02-16T00:49:01,576,133,709,3705,0.0001662USD
2026-02-16T00:49:05,588,18,606,960,0.000099USD
2026-02-16T00:49:06,588,18,606,833,0.000099USD
2026-02-16T00:49:06,588,18,606,810,0.000099USD
2026-02-16T00:54:13,1295,164,1459,4033,0.00029265USD
2026-02-16T00:54:17,1288,139,1427,3048,0.0002766USD
2026-02-16T00:54:20,1285,148,1433,3083,0.00028155USD
2026-02-16T00:54:24,1276,18,1294,987,0.0002022USD
2026-02-16T00:54:25,1276,18,1294,792,0.0002022USD
2026-02-16T00:54:25,1276,18,1294,742,0.0002022USD
2026-02-16T00:54:26,1256,133,1389,3119,0.0002682USD
2026-02-16T00:54:29,1268,18,1286,794,0.000201USD
2026-02-16T00:54:30,1268,18,1286,851,0.000201USD
2026-02-16T00:54:31,1268,18,1286,922,0.000201USD
2026-02-16T01:01:13,1294,1418,2712,10245,0.0031595USD
2026-02-16T01:01:24,1287,1318,2605,8969,0.00295775USD
2026-02-16T01:01:33,1284,1089,2373,8067,0.002499USD
2026-02-16T01:01:41,1275,1127,2402,8516,0.00257275USD
2026-02-16T01:01:49,1255,832,2087,6231,0.00197775USD
2026-02-16T01:01:55,1267,923,2190,9202,0.00216275USD
2026-02-16T01:05:52,1295,136,1431,3678,0.0045975USD
2026-02-16T01:05:56,1288,169,1457,16655,0.00491USD
2026-02-16T01:06:12,1285,143,1428,3003,0.0046425USD
2026-02-16T01:06:15,1276,18,1294,1209,0.00337USD
2026-02-16T01:06:17,1276,18,1294,708,0.00337USD
2026-02-16T01:06:17,1276,18,1294,752,0.00337USD
2026-02-16T01:06:18,1256,136,1392,5400,0.0045USD
2026-02-16T01:06:23,1268,18,1286,884,0.00335USD
2026-02-16T01:06:24,1268,18,1286,941,0.00335USD
2026-02-16T01:06:25,1268,18,1286,1217,0.00335USD
